"Akaa","Latvian","Population 31 Dec",...
"Akaa","Lithuanian","Population 31 Dec",...
"Akaa","Limburgish, Limburgan, Limburger","Population 31 Dec",...
"Akaa","Lingala","Population 31 Dec",...
"Akaa","Luxembourgish; Letzeburgesch","Population 31 Dec",...
"Akaa","Western Frisian","Population 31 Dec",...
"Akaa","Macedonian","Population 31 Dec",...
"Akaa","Malagasy","Population 31 Dec",...
"Akaa","Malay","Population 31 Dec",...
"Akaa","Malayalam","Population 31 Dec",13
"Akaa","Maltese","Population 31 Dec",...
"Akaa","Marathi","Population 31 Dec",...
"Akaa","Moldavian","Population 31 Dec",...
"Akaa","Mongolian","Population 31 Dec",...
"Akaa","Nauru","Population 31 Dec",...
"Akaa","Ndonga","Population 31 Dec",...
"Akaa","Nepali","Population 31 Dec",...
"Akaa","Chichewa, Chewa, Nyanja","Population 31 Dec",...
"Akaa","Norwegian","Population 31 Dec",...
"Akaa","Oriya","Population 31 Dec",...
"Akaa","Oromo","Population 31 Dec",...
"Akaa","Ossetian, Ossetic","Population 31 Dec",...
"Akaa","pali","Population 31 Dec",...
"Akaa","Panjabi; Punjabi","Population 31 Dec",...
"Akaa","Pushto; Pashto","Population 31 Dec",...
"Akaa","Persian, Farsi","Population 31 Dec",...
"Akaa","Northern Ndebele","Population 31 Dec",...
"Akaa","Portuguese","Population 31 Dec",...
"Akaa","Polish","Population 31 Dec",25
"Akaa","French","Population 31 Dec",...
"Akaa","Romansh","Population 31 Dec",...
"Akaa","Romanian","Population 31 Dec",...
"Akaa","Kinyarwanda","Population 31 Dec",...
"Akaa","Rundi","Population 31 Dec",...
"Akaa","German","Population 31 Dec",15
"Akaa","Samoan","Population 31 Dec",...
"Akaa","Sango","Population 31 Dec",...
"Akaa","Serbian","Population 31 Dec",...
"Akaa","Serbo-Croatian","Population 31 Dec",...
"Akaa","Sindhi","Population 31 Dec",...
"Akaa","Sinhala; Sinhalese","Population 31 Dec",...
"Akaa","Gaelic; Scottish Gaelic","Population 31 Dec",...
"Akaa","Slovak","Population 31 Dec",...
"Akaa","Slovene","Population 31 Dec",...
"Akaa","Somali","Population 31 Dec",...
"Akaa","Shona","Population 31 Dec",...
"Akaa","Sundanese","Population 31 Dec",...
"Akaa","Swahili","Population 31 Dec",...
